PLOTID,LON,LAT
0,-119.5383,37.8651
1,-119.5525395396388,37.87634152007399
2,-119.54684372378328,37.87634152007399
3,-119.54114790792777,37.87634152007399
4,-119.53545209207223,37.87634152007399
5,-119.52975627621672,37.87634152007399
6,-119.5240604603612,37.87634152007399
7,-119.5525395396388,37.8718449120444
8,-119.54684372378328,37.8718449120444
9,-119.54114790792777,37.8718449120444
10,-119.53545209207223,37.8718449120444
11,-119.52975627621672,37.8718449120444
12,-119.5240604603612,37.8718449120444
13,-119.5525395396388,37.8673483040148
14,-119.54684372378328,37.8673483040148
15,-119.54114790792777,37.8673483040148
16,-119.53545209207223,37.8673483040148
17,-119.52975627621672,37.8673483040148
18,-119.5240604603612,37.8673483040148
19,-119.5525395396388,37.862851695985206
20,-119.54684372378328,37.862851695985206
21,-119.54114790792777,37.862851695985206
22,-119.53545209207223,37.862851695985206
23,-119.52975627621672,37.862851695985206
24,-119.5240604603612,37.862851695985206
25,-119.5525395396388,37.85835508795561
26,-119.54684372378328,37.85835508795561
27,-119.54114790792777,37.85835508795561
28,-119.53545209207223,37.85835508795561
29,-119.52975627621672,37.85835508795561
30,-119.5240604603612,37.85835508795561
31,-119.5525395396388,37.85385847992602
32,-119.54684372378328,37.85385847992602
33,-119.54114790792777,37.85385847992602
34,-119.53545209207223,37.85385847992602
35,-119.52975627621672,37.85385847992602
36,-119.5240604603612,37.85385847992602
100,-118.2437,34.0522
101,-118.2572680667478,34.06344152007399
102,-118.25184084004869,34.06344152007399
103,-118.24641361334956,34.06344152007399
104,-118.24098638665043,34.06344152007399
105,-118.23555915995132,34.06344152007399
106,-118.2301319332522,34.06344152007399
107,-118.2572680667478,34.0589449120444
108,-118.25184084004869,34.0589449120444
109,-118.24641361334956,34.0589449120444
110,-118.24098638665043,34.0589449120444
111,-118.23555915995132,34.0589449120444
112,-118.2301319332522,34.0589449120444
113,-118.2572680667478,34.0544483040148
114,-118.25184084004869,34.0544483040148
115,-118.24641361334956,34.0544483040148
116,-118.24098638665043,34.0544483040148
117,-118.23555915995132,34.0544483040148
118,-118.2301319332522,34.0544483040148
119,-118.2572680667478,34.04995169598521
120,-118.25184084004869,34.04995169598521
121,-118.24641361334956,34.04995169598521
122,-118.24098638665043,34.04995169598521
123,-118.23555915995132,34.04995169598521
124,-118.2301319332522,34.04995169598521
125,-118.2572680667478,34.04545508795561
126,-118.25184084004869,34.04545508795561
127,-118.24641361334956,34.04545508795561
128,-118.24098638665043,34.04545508795561
129,-118.23555915995132,34.04545508795561
130,-118.2301319332522,34.04545508795561
131,-118.2572680667478,34.04095847992602
132,-118.25184084004869,34.04095847992602
133,-118.24641361334956,34.04095847992602
134,-118.24098638665043,34.04095847992602
135,-118.23555915995132,34.04095847992602
136,-118.2301319332522,34.04095847992602
200,-105.6836,40.3428
201,-105.6983490708965,40.354041520073984
202,-105.69244944253788,40.354041520073984
203,-105.6865498141793,40.354041520073984
204,-105.6806501858207,40.354041520073984
205,-105.67475055746208,40.354041520073984
206,-105.6688509291035,40.354041520073984
207,-105.6983490708965,40.3495449120444
208,-105.69244944253788,40.3495449120444
209,-105.6865498141793,40.3495449120444
210,-105.6806501858207,40.3495449120444
211,-105.67475055746208,40.3495449120444
212,-105.6688509291035,40.3495449120444
213,-105.6983490708965,40.3450483040148
214,-105.69244944253788,40.3450483040148
215,-105.6865498141793,40.3450483040148
216,-105.6806501858207,40.3450483040148
217,-105.67475055746208,40.3450483040148
218,-105.6688509291035,40.3450483040148
219,-105.6983490708965,40.340551695985205
220,-105.69244944253788,40.340551695985205
221,-105.6865498141793,40.340551695985205
222,-105.6806501858207,40.340551695985205
223,-105.67475055746208,40.340551695985205
224,-105.6688509291035,40.340551695985205
225,-105.6983490708965,40.33605508795561
226,-105.69244944253788,40.33605508795561
227,-105.6865498141793,40.33605508795561
228,-105.6806501858207,40.33605508795561
229,-105.67475055746208,40.33605508795561
230,-105.6688509291035,40.33605508795561
231,-105.6983490708965,40.33155847992602
232,-105.69244944253788,40.33155847992602
233,-105.6865498141793,40.33155847992602
234,-105.6806501858207,40.33155847992602
235,-105.67475055746208,40.33155847992602
236,-105.6688509291035,40.33155847992602
